search_term,match_type,shared_set_name,campaign_name,ad_group_name,matched_keyword,matched_keyword_match_type,added_on
alberta recruitment,EXACT,Candidate Traffic - Exclude,SEA_Polymer-Search,Category,job posting websites,PHRASE,2026-09-04
alberta recruitment,PHRASE,Candidate Traffic - Exclude,SEA_Polymer-Search,Category,job posting websites,PHRASE,2026-09-04
alberta recruitment,EXACT,account-level negative keywords list,SEA_Polymer-Search,Category,job posting websites,PHRASE,2026-09-04
alberta recruitment,PHRASE,account-level negative keywords list,SEA_Polymer-Search,Category,job posting websites,PHRASE,2026-09-04
free ats resume scan,EXACT,Candidate Traffic - Exclude,SEA_Polymer-Search,AI-Screening,ai resume screening,PHRASE,2026-09-04
free ats resume scan,PHRASE,Candidate Traffic - Exclude,SEA_Polymer-Search,AI-Screening,ai resume screening,PHRASE,2026-09-04
free ats resume scan,EXACT,account-level negative keywords list,SEA_Polymer-Search,AI-Screening,ai resume screening,PHRASE,2026-09-04
free ats resume scan,PHRASE,account-level negative keywords list,SEA_Polymer-Search,AI-Screening,ai resume screening,PHRASE,2026-09-04
ats scan,EXACT,Candidate Traffic - Exclude,SEA_Polymer-Search,AI-Screening,automated resume screening,EXACT,2026-09-04
ats scan,PHRASE,Candidate Traffic - Exclude,SEA_Polymer-Search,AI-Screening,automated resume screening,EXACT,2026-09-04
ats scan,EXACT,account-level negative keywords list,SEA_Polymer-Search,AI-Screening,automated resume screening,EXACT,2026-09-04
ats scan,PHRASE,account-level negative keywords list,SEA_Polymer-Search,AI-Screening,automated resume screening,EXACT,2026-09-04
ats pass,EXACT,Candidate Traffic - Exclude,SEA_Polymer-Search,AI-Screening,ai resume screening,PHRASE,2026-09-04
ats pass,PHRASE,Candidate Traffic - Exclude,SEA_Polymer-Search,AI-Screening,ai resume screening,PHRASE,2026-09-04
ats pass,EXACT,account-level negative keywords list,SEA_Polymer-Search,AI-Screening,ai resume screening,PHRASE,2026-09-04
ats pass,PHRASE,account-level negative keywords list,SEA_Polymer-Search,AI-Screening,ai resume screening,PHRASE,2026-09-04
vidcruiter download,EXACT,Candidate Traffic - Exclude,SEA_Polymer-Search,AI-Screening,ai recruiting software,PHRASE,2026-09-04
vidcruiter download,PHRASE,Candidate Traffic - Exclude,SEA_Polymer-Search,AI-Screening,ai recruiting software,PHRASE,2026-09-04
vidcruiter download,EXACT,account-level negative keywords list,SEA_Polymer-Search,AI-Screening,ai recruiting software,PHRASE,2026-09-04
vidcruiter download,PHRASE,account-level negative keywords list,SEA_Polymer-Search,AI-Screening,ai recruiting software,PHRASE,2026-09-04
jobsites,EXACT,Candidate Traffic - Exclude,SEA_Polymer-Search,Category,job recruiting websites,EXACT,2026-09-04
jobsites,PHRASE,Candidate Traffic - Exclude,SEA_Polymer-Search,Category,job recruiting websites,EXACT,2026-09-04
jobsites,EXACT,account-level negative keywords list,SEA_Polymer-Search,Category,job recruiting websites,EXACT,2026-09-04
jobsites,PHRASE,account-level negative keywords list,SEA_Polymer-Search,Category,job recruiting websites,EXACT,2026-09-04
atss checker,EXACT,Candidate Traffic - Exclude,SEA_Polymer-Search,AI-Screening,automated resume screening,EXACT,2026-09-09
atss checker,PHRASE,Candidate Traffic - Exclude,SEA_Polymer-Search,AI-Screening,automated resume screening,EXACT,2026-09-09
atss checker,EXACT,account-level negative keywords list,SEA_Polymer-Search,AI-Screening,automated resume screening,EXACT,2026-09-09
atss checker,PHRASE,account-level negative keywords list,SEA_Polymer-Search,AI-Screening,automated resume screening,EXACT,2026-09-09
oneforma official website,EXACT,Candidate Traffic - Exclude,SEA_Polymer-Search,Category,job posting websites,PHRASE,2026-09-09
oneforma official website,PHRASE,Candidate Traffic - Exclude,SEA_Polymer-Search,Category,job posting websites,PHRASE,2026-09-09
oneforma official website,EXACT,account-level negative keywords list,SEA_Polymer-Search,Category,job posting websites,PHRASE,2026-09-09
oneforma official website,PHRASE,account-level negative keywords list,SEA_Polymer-Search,Category,job posting websites,PHRASE,2026-09-09
talent com canada,EXACT,Candidate Traffic - Exclude,SEA_Polymer-Search,Category,job posting websites,PHRASE,2026-09-09
talent com canada,PHRASE,Candidate Traffic - Exclude,SEA_Polymer-Search,Category,job posting websites,PHRASE,2026-09-09
talent com canada,EXACT,account-level negative keywords list,SEA_Polymer-Search,Category,job posting websites,PHRASE,2026-09-09
talent com canada,PHRASE,account-level negative keywords list,SEA_Polymer-Search,Category,job posting websites,PHRASE,2026-09-09
randstad canada,EXACT,Candidate Traffic - Exclude,SEA_Polymer-Search,Category,job posting websites,PHRASE,2026-09-09
randstad canada,PHRASE,Candidate Traffic - Exclude,SEA_Polymer-Search,Category,job posting websites,PHRASE,2026-09-09
randstad canada,EXACT,account-level negative keywords list,SEA_Polymer-Search,Category,job posting websites,PHRASE,2026-09-09
randstad canada,PHRASE,account-level negative keywords list,SEA_Polymer-Search,Category,job posting websites,PHRASE,2026-09-09
ats scorer,EXACT,Candidate Traffic - Exclude,SEA_Polymer-Search,AI-Screening,automated resume screening,EXACT,2026-09-09
ats scorer,PHRASE,Candidate Traffic - Exclude,SEA_Polymer-Search,AI-Screening,automated resume screening,EXACT,2026-09-09
ats scorer,EXACT,account-level negative keywords list,SEA_Polymer-Search,AI-Screening,automated resume screening,EXACT,2026-09-09
ats scorer,PHRASE,account-level negative keywords list,SEA_Polymer-Search,AI-Screening,automated resume screening,EXACT,2026-09-09
ats checked,EXACT,Candidate Traffic - Exclude,SEA_Polymer-Search,AI-Screening,automated resume screening,EXACT,2026-09-09
ats checked,PHRASE,Candidate Traffic - Exclude,SEA_Polymer-Search,AI-Screening,automated resume screening,EXACT,2026-09-09
ats checked,EXACT,account-level negative keywords list,SEA_Polymer-Search,AI-Screening,automated resume screening,EXACT,2026-09-09
ats checked,PHRASE,account-level negative keywords list,SEA_Polymer-Search,AI-Screening,automated resume screening,EXACT,2026-09-09
ats checking,EXACT,Candidate Traffic - Exclude,SEA_Polymer-Search,AI-Screening,automated resume screening,EXACT,2026-09-09
ats checking,PHRASE,Candidate Traffic - Exclude,SEA_Polymer-Search,AI-Screening,automated resume screening,EXACT,2026-09-09
ats checking,EXACT,account-level negative keywords list,SEA_Polymer-Search,AI-Screening,automated resume screening,EXACT,2026-09-09
ats checking,PHRASE,account-level negative keywords list,SEA_Polymer-Search,AI-Screening,automated resume screening,EXACT,2026-09-09
ibm knockri,EXACT,Candidate Traffic - Exclude,SEA_Polymer-Search,AI-Screening,ai recruiting software,PHRASE,2026-09-10
ibm knockri,PHRASE,Candidate Traffic - Exclude,SEA_Polymer-Search,AI-Screening,ai recruiting software,PHRASE,2026-09-10
ibm knockri,EXACT,account-level negative keywords list,SEA_Polymer-Search,AI-Screening,ai recruiting software,PHRASE,2026-09-10
ibm knockri,PHRASE,account-level negative keywords list,SEA_Polymer-Search,AI-Screening,ai recruiting software,PHRASE,2026-09-10
check ats,EXACT,Candidate Traffic - Exclude,SEA_Polymer-Search,AI-Screening,automated resume screening,EXACT,2026-09-10
check ats,PHRASE,Candidate Traffic - Exclude,SEA_Polymer-Search,AI-Screening,automated resume screening,EXACT,2026-09-10
check ats,EXACT,account-level negative keywords list,SEA_Polymer-Search,AI-Screening,automated resume screening,EXACT,2026-09-10
check ats,PHRASE,account-level negative keywords list,SEA_Polymer-Search,AI-Screening,automated resume screening,EXACT,2026-09-10
skill syncer com,EXACT,Candidate Traffic - Exclude,SEA_Polymer-Search,AI-Screening,ai resume screening,PHRASE,2026-09-10
skill syncer com,PHRASE,Candidate Traffic - Exclude,SEA_Polymer-Search,AI-Screening,ai resume screening,PHRASE,2026-09-10
skill syncer com,EXACT,account-level negative keywords list,SEA_Polymer-Search,AI-Screening,ai resume screening,PHRASE,2026-09-10
skill syncer com,PHRASE,account-level negative keywords list,SEA_Polymer-Search,AI-Screening,ai resume screening,PHRASE,2026-09-10
